source_column,target_column,confidence
category_id,product_id,0.5627075433731079
category_id,product_category_name,0.4239572286605835
category_id,product_name_lenght,0.22679433226585388
category_id,product_description_lenght,0.21568384766578674
category_id,product_weight_g,0.14680613577365875
product_id,product_id,1.0
product_id,product_name_lenght,0.505229115486145
product_id,product_description_lenght,0.41614091396331787
product_id,product_category_name,0.38890382647514343
product_id,product_weight_g,0.36498695611953735
product_name,product_category_name,0.7402539253234863
product_name,product_name_lenght,0.6631262898445129
product_name,product_id,0.5275040864944458
product_name,product_description_lenght,0.40381568670272827
product_name,product_weight_g,0.3706417977809906
supplier_id,product_id,0.6533769965171814
supplier_id,product_name_lenght,0.32657718658447266
supplier_id,product_description_lenght,0.2709426283836365
supplier_id,product_weight_g,0.2381572276353836
supplier_id,product_photos_qty,0.23809951543807983
unit_price,product_weight_g,0.35163614153862
unit_price,product_description_lenght,0.3450504541397095
unit_price,product_name_lenght,0.33877840638160706
unit_price,product_height_cm,0.31776559352874756
unit_price,product_length_cm,0.31473103165626526
units_in_stock,product_weight_g,0.40150079131126404
units_in_stock,product_length_cm,0.37237122654914856
units_in_stock,product_name_lenght,0.36883339285850525
units_in_stock,product_photos_qty,0.35167738795280457
units_in_stock,product_width_cm,0.3478277325630188
